timestamp,gpu_utilization,memory_utilization,memory_used_mb,memory_total_mb,memory_percent,temperature_c,power_draw_w,power_limit_w,sm_clock_mhz,mem_clock_mhz
1762466227.980845,30,0,0,0,0,46,0,0,0,0
1762466228.4828281,1,0,0,0,0,46,0,0,0,0
1762466228.9831898,1,0,0,0,0,46,0,0,0,0
1762466229.4834588,1,0,0,0,0,47,0,0,0,0
1762466229.9840238,1,0,0,0,0,49,0,0,0,0
1762466230.4851005,87,0,0,0,0,49,0,0,0,0
1762466230.9858603,87,0,0,0,0,49,0,0,0,0
1762466231.487191,90,0,0,0,0,50,0,0,0,0
1762466231.9880047,90,0,0,0,0,50,0,0,0,0
1762466232.4886906,90,0,0,0,0,50,0,0,0,0
1762466232.989056,90,0,0,0,0,50,0,0,0,0
1762466233.4898186,88,0,0,0,0,50,0,0,0,0
1762466233.9903595,88,0,0,0,0,50,0,0,0,0
1762466234.490876,89,0,0,0,0,51,0,0,0,0
1762466234.9914072,89,0,0,0,0,51,0,0,0,0
1762466235.4920928,85,0,0,0,0,51,0,0,0,0
1762466235.992507,85,0,0,0,0,51,0,0,0,0
1762466236.493043,89,0,0,0,0,51,0,0,0,0
1762466236.9939153,89,0,0,0,0,51,0,0,0,0
1762466237.4951057,89,0,0,0,0,51,0,0,0,0
1762466237.9958801,89,0,0,0,0,52,0,0,0,0
1762466238.496238,89,0,0,0,0,52,0,0,0,0
1762466238.9971917,89,0,0,0,0,52,0,0,0,0
1762466239.497903,90,0,0,0,0,52,0,0,0,0
1762466239.998272,90,0,0,0,0,52,0,0,0,0
1762466240.4994156,91,0,0,0,0,52,0,0,0,0
1762466241.000061,91,0,0,0,0,52,0,0,0,0
1762466241.5010428,87,0,0,0,0,52,0,0,0,0
1762466242.0020428,87,0,0,0,0,53,0,0,0,0
1762466242.5030963,87,0,0,0,0,53,0,0,0,0
1762466243.003755,87,0,0,0,0,53,0,0,0,0
1762466243.5043209,86,0,0,0,0,53,0,0,0,0
1762466244.0048192,86,0,0,0,0,53,0,0,0,0
1762466244.5050933,89,0,0,0,0,53,0,0,0,0
1762466245.006215,89,0,0,0,0,53,0,0,0,0
1762466245.5070245,89,0,0,0,0,53,0,0,0,0
1762466246.0080845,89,0,0,0,0,53,0,0,0,0
1762466246.5085409,85,0,0,0,0,54,0,0,0,0
1762466247.0097096,85,0,0,0,0,54,0,0,0,0
1762466247.5101917,90,0,0,0,0,54,0,0,0,0
1762466248.010547,90,0,0,0,0,54,0,0,0,0
1762466248.5109746,91,0,0,0,0,54,0,0,0,0
1762466249.0114028,91,0,0,0,0,54,0,0,0,0
