timestamp,gpu_utilization,memory_utilization,memory_used_mb,memory_total_mb,memory_percent,temperature_c,power_draw_w,power_limit_w,sm_clock_mhz,mem_clock_mhz
1762499204.1477005,79,0,0,0,0,66,0,0,0,0
1762499204.6487463,79,0,0,0,0,67,0,0,0,0
1762499205.14949,83,0,0,0,0,66,0,0,0,0
1762499205.6499395,83,0,0,0,0,67,0,0,0,0
1762499206.1515653,81,0,0,0,0,67,0,0,0,0
1762499206.6526806,81,0,0,0,0,67,0,0,0,0
1762499207.1532552,80,0,0,0,0,67,0,0,0,0
1762499207.654103,80,0,0,0,0,66,0,0,0,0
1762499208.1549637,84,0,0,0,0,69,0,0,0,0
1762499208.655775,84,0,0,0,0,67,0,0,0,0
1762499209.1560774,80,0,0,0,0,66,0,0,0,0
1762499209.6569266,80,0,0,0,0,66,0,0,0,0
1762499210.1573467,80,0,0,0,0,66,0,0,0,0
1762499210.6586127,80,0,0,0,0,66,0,0,0,0
1762499211.1590846,80,0,0,0,0,67,0,0,0,0
1762499211.6593754,80,0,0,0,0,66,0,0,0,0
1762499212.159979,81,0,0,0,0,67,0,0,0,0
1762499212.6602542,81,0,0,0,0,66,0,0,0,0
1762499213.161615,72,0,0,0,0,66,0,0,0,0
1762499213.6621592,72,0,0,0,0,67,0,0,0,0
1762499214.1624398,79,0,0,0,0,66,0,0,0,0
1762499214.6632748,79,0,0,0,0,67,0,0,0,0
1762499215.163652,78,0,0,0,0,67,0,0,0,0
1762499215.6639626,78,0,0,0,0,67,0,0,0,0
1762499216.1644561,78,0,0,0,0,67,0,0,0,0
1762499216.6653109,78,0,0,0,0,67,0,0,0,0
1762499217.1658592,79,0,0,0,0,67,0,0,0,0
1762499217.6666522,79,0,0,0,0,67,0,0,0,0
1762499218.1671636,73,0,0,0,0,71,0,0,0,0
1762499218.6680815,73,0,0,0,0,67,0,0,0,0
1762499219.1684113,79,0,0,0,0,67,0,0,0,0
1762499219.6688304,79,0,0,0,0,67,0,0,0,0
1762499220.1690664,79,0,0,0,0,67,0,0,0,0
1762499220.6694298,79,0,0,0,0,67,0,0,0,0
1762499221.1697533,80,0,0,0,0,67,0,0,0,0
1762499221.6701572,80,0,0,0,0,67,0,0,0,0
1762499222.171337,78,0,0,0,0,67,0,0,0,0
1762499222.6719966,78,0,0,0,0,67,0,0,0,0
1762499223.1727278,79,0,0,0,0,67,0,0,0,0
1762499223.6734786,79,0,0,0,0,67,0,0,0,0
1762499224.1738977,81,0,0,0,0,67,0,0,0,0
1762499224.6741772,81,0,0,0,0,67,0,0,0,0
1762499225.1752186,81,0,0,0,0,67,0,0,0,0
1762499225.6756516,81,0,0,0,0,67,0,0,0,0
1762499226.177188,77,0,0,0,0,71,0,0,0,0
1762499226.6773903,77,0,0,0,0,73,0,0,0,0
1762499227.1778617,78,0,0,0,0,67,0,0,0,0
1762499227.678725,78,0,0,0,0,67,0,0,0,0
1762499228.1792152,78,0,0,0,0,67,0,0,0,0
1762499228.6796834,78,0,0,0,0,67,0,0,0,0
1762499229.1803224,79,0,0,0,0,67,0,0,0,0
1762499229.6811335,79,0,0,0,0,67,0,0,0,0
1762499230.1817582,73,0,0,0,0,67,0,0,0,0
1762499230.682074,73,0,0,0,0,67,0,0,0,0
1762499231.1828103,79,0,0,0,0,67,0,0,0,0
1762499231.6833048,79,0,0,0,0,67,0,0,0,0
1762499232.183833,81,0,0,0,0,67,0,0,0,0
1762499232.6840856,81,0,0,0,0,67,0,0,0,0
1762499233.1843343,80,0,0,0,0,67,0,0,0,0
1762499233.6853857,80,0,0,0,0,67,0,0,0,0
1762499234.1858308,70,0,0,0,0,66,0,0,0,0
1762499234.6862152,70,0,0,0,0,67,0,0,0,0
1762499235.1872292,80,0,0,0,0,67,0,0,0,0
1762499235.6877367,80,0,0,0,0,67,0,0,0,0
1762499236.1880853,80,0,0,0,0,67,0,0,0,0
1762499236.6884258,80,0,0,0,0,68,0,0,0,0
1762499237.1889133,77,0,0,0,0,67,0,0,0,0
1762499237.6893017,77,0,0,0,0,67,0,0,0,0
1762499238.1897905,83,0,0,0,0,74,0,0,0,0
1762499238.6906557,83,0,0,0,0,67,0,0,0,0
1762499239.1911623,78,0,0,0,0,67,0,0,0,0
1762499239.691555,78,0,0,0,0,67,0,0,0,0
1762499240.1919336,81,0,0,0,0,67,0,0,0,0
1762499240.6927028,81,0,0,0,0,67,0,0,0,0
1762499241.1930914,81,0,0,0,0,67,0,0,0,0
1762499241.6937823,81,0,0,0,0,71,0,0,0,0
1762499242.1942422,77,0,0,0,0,67,0,0,0,0
1762499242.694961,77,0,0,0,0,67,0,0,0,0
1762499243.1953151,78,0,0,0,0,67,0,0,0,0
1762499243.696106,78,0,0,0,0,67,0,0,0,0
1762499244.1964269,80,0,0,0,0,67,0,0,0,0
1762499244.6967616,80,0,0,0,0,67,0,0,0,0
1762499245.1970577,81,0,0,0,0,73,0,0,0,0
1762499245.6973557,81,0,0,0,0,70,0,0,0,0
1762499246.197586,81,0,0,0,0,68,0,0,0,0
1762499246.6980302,81,0,0,0,0,67,0,0,0,0
1762499247.1985908,81,0,0,0,0,67,0,0,0,0
1762499247.698833,81,0,0,0,0,66,0,0,0,0
1762499248.1991851,77,0,0,0,0,67,0,0,0,0
1762499248.699455,77,0,0,0,0,67,0,0,0,0
1762499249.2001846,77,0,0,0,0,67,0,0,0,0
1762499249.7006037,77,0,0,0,0,67,0,0,0,0
1762499250.2010381,81,0,0,0,0,68,0,0,0,0
1762499250.7012732,81,0,0,0,0,68,0,0,0,0
1762499251.202284,79,0,0,0,0,67,0,0,0,0
1762499251.7032266,79,0,0,0,0,67,0,0,0,0
1762499252.2038264,78,0,0,0,0,72,0,0,0,0
1762499252.704495,78,0,0,0,0,67,0,0,0,0
1762499253.2052958,79,0,0,0,0,67,0,0,0,0
1762499253.7061634,79,0,0,0,0,67,0,0,0,0
1762499254.2067356,79,0,0,0,0,67,0,0,0,0
1762499254.7070608,79,0,0,0,0,67,0,0,0,0
1762499255.2075615,80,0,0,0,0,67,0,0,0,0
1762499255.7082415,80,0,0,0,0,73,0,0,0,0
1762499256.2086532,80,0,0,0,0,67,0,0,0,0
1762499256.7093008,80,0,0,0,0,67,0,0,0,0
1762499257.2097442,81,0,0,0,0,67,0,0,0,0
1762499257.7104092,81,0,0,0,0,67,0,0,0,0
1762499258.211723,79,0,0,0,0,68,0,0,0,0
1762499258.7119906,79,0,0,0,0,67,0,0,0,0
1762499259.2127697,74,0,0,0,0,71,0,0,0,0
1762499259.7131684,74,0,0,0,0,67,0,0,0,0
1762499260.2139435,81,0,0,0,0,67,0,0,0,0
1762499260.7143977,81,0,0,0,0,67,0,0,0,0
1762499261.2147083,82,0,0,0,0,67,0,0,0,0
1762499261.7150772,82,0,0,0,0,68,0,0,0,0
1762499262.2158272,79,0,0,0,0,67,0,0,0,0
1762499262.716607,79,0,0,0,0,67,0,0,0,0
1762499263.2169592,74,0,0,0,0,68,0,0,0,0
1762499263.7172973,74,0,0,0,0,67,0,0,0,0
1762499264.2175758,78,0,0,0,0,67,0,0,0,0
1762499264.7178895,78,0,0,0,0,67,0,0,0,0
1762499265.218247,80,0,0,0,0,67,0,0,0,0
1762499265.7186828,80,0,0,0,0,68,0,0,0,0
1762499266.2195501,80,0,0,0,0,67,0,0,0,0
1762499266.720255,80,0,0,0,0,66,0,0,0,0
1762499267.2205951,78,0,0,0,0,67,0,0,0,0
1762499267.7210739,78,0,0,0,0,67,0,0,0,0
1762499268.2216618,77,0,0,0,0,67,0,0,0,0
1762499268.7220004,77,0,0,0,0,67,0,0,0,0
1762499269.223086,80,0,0,0,0,68,0,0,0,0
1762499269.7235048,80,0,0,0,0,67,0,0,0,0
1762499270.2239132,80,0,0,0,0,67,0,0,0,0
1762499270.7244518,80,0,0,0,0,67,0,0,0,0
1762499271.2250583,79,0,0,0,0,67,0,0,0,0
1762499271.7258224,79,0,0,0,0,67,0,0,0,0
1762499272.2262514,79,0,0,0,0,67,0,0,0,0
1762499272.726702,79,0,0,0,0,67,0,0,0,0
1762499273.2275608,77,0,0,0,0,67,0,0,0,0
1762499273.7279255,77,0,0,0,0,73,0,0,0,0
1762499274.2281797,79,0,0,0,0,67,0,0,0,0
1762499274.7284987,79,0,0,0,0,67,0,0,0,0
1762499275.229452,77,0,0,0,0,67,0,0,0,0
1762499275.729848,77,0,0,0,0,67,0,0,0,0
1762499276.2300794,77,0,0,0,0,67,0,0,0,0
1762499276.7307906,77,0,0,0,0,67,0,0,0,0
1762499277.231234,83,0,0,0,0,74,0,0,0,0
1762499277.7314985,83,0,0,0,0,67,0,0,0,0
1762499278.2318246,79,0,0,0,0,67,0,0,0,0
1762499278.7321844,79,0,0,0,0,67,0,0,0,0
1762499279.2330394,78,0,0,0,0,67,0,0,0,0
1762499279.7333407,78,0,0,0,0,67,0,0,0,0
1762499280.2337134,80,0,0,0,0,67,0,0,0,0
1762499280.7344303,80,0,0,0,0,74,0,0,0,0
1762499281.2348533,80,0,0,0,0,67,0,0,0,0
1762499281.735495,80,0,0,0,0,67,0,0,0,0
1762499282.23576,79,0,0,0,0,67,0,0,0,0
1762499282.7361767,79,0,0,0,0,67,0,0,0,0
1762499283.2364702,79,0,0,0,0,67,0,0,0,0
1762499283.7370894,79,0,0,0,0,67,0,0,0,0
1762499284.2374628,77,0,0,0,0,67,0,0,0,0
1762499284.7378995,77,0,0,0,0,74,0,0,0,0
1762499285.2385252,77,0,0,0,0,67,0,0,0,0
1762499285.7388794,77,0,0,0,0,67,0,0,0,0
1762499286.2393725,78,0,0,0,0,67,0,0,0,0
1762499286.7399247,78,0,0,0,0,67,0,0,0,0
1762499287.2405486,77,0,0,0,0,67,0,0,0,0
1762499287.7409835,77,0,0,0,0,67,0,0,0,0
1762499288.2415564,78,0,0,0,0,67,0,0,0,0
1762499288.7422297,78,0,0,0,0,73,0,0,0,0
1762499289.2434232,81,0,0,0,0,67,0,0,0,0
1762499289.743731,81,0,0,0,0,67,0,0,0,0
1762499290.2445278,79,0,0,0,0,67,0,0,0,0
1762499290.7449827,79,0,0,0,0,67,0,0,0,0
1762499291.2457058,78,0,0,0,0,67,0,0,0,0
1762499291.7464166,78,0,0,0,0,67,0,0,0,0
1762499292.2467217,82,0,0,0,0,67,0,0,0,0
1762499292.7472448,82,0,0,0,0,67,0,0,0,0
1762499293.248041,86,0,0,0,0,70,0,0,0,0
1762499293.7488964,86,0,0,0,0,67,0,0,0,0
1762499294.2495668,80,0,0,0,0,67,0,0,0,0
1762499294.750875,80,0,0,0,0,67,0,0,0,0
1762499295.2513895,78,0,0,0,0,67,0,0,0,0
1762499295.7517178,78,0,0,0,0,67,0,0,0,0
1762499296.2524304,79,0,0,0,0,67,0,0,0,0
1762499296.752909,79,0,0,0,0,69,0,0,0,0
1762499297.254412,79,0,0,0,0,67,0,0,0,0
1762499297.7549026,79,0,0,0,0,67,0,0,0,0
1762499298.255604,79,0,0,0,0,67,0,0,0,0
1762499298.7561479,79,0,0,0,0,67,0,0,0,0
1762499299.256518,79,0,0,0,0,67,0,0,0,0
1762499299.7568212,79,0,0,0,0,67,0,0,0,0
1762499300.2573478,81,0,0,0,0,67,0,0,0,0
1762499300.757603,81,0,0,0,0,67,0,0,0,0
1762499301.258273,79,0,0,0,0,68,0,0,0,0
1762499301.758798,79,0,0,0,0,67,0,0,0,0
1762499302.2597451,80,0,0,0,0,75,0,0,0,0
1762499302.760122,80,0,0,0,0,71,0,0,0,0
1762499303.2604127,78,0,0,0,0,67,0,0,0,0
1762499303.7611136,78,0,0,0,0,67,0,0,0,0
1762499304.2615557,78,0,0,0,0,67,0,0,0,0
1762499304.762031,78,0,0,0,0,67,0,0,0,0
1762499305.2623444,78,0,0,0,0,67,0,0,0,0
1762499305.7627704,78,0,0,0,0,67,0,0,0,0
1762499306.2632046,79,0,0,0,0,73,0,0,0,0
1762499306.764142,79,0,0,0,0,67,0,0,0,0
1762499307.2644362,79,0,0,0,0,67,0,0,0,0
1762499307.7647839,79,0,0,0,0,67,0,0,0,0
