timestamp,gpu_utilization,memory_utilization,memory_used_mb,memory_total_mb,memory_percent,temperature_c,power_draw_w,power_limit_w,sm_clock_mhz,mem_clock_mhz
1763060485.7050266,31,0,0,0,0,40,0,0,0,0
1763060486.2061598,1,0,0,0,0,40,0,0,0,0
1763060486.7069256,1,0,0,0,0,40,0,0,0,0
1763060487.207507,0,0,0,0,0,40,0,0,0,0
1763060487.7081654,0,0,0,0,0,41,0,0,0,0
1763060488.2085729,90,0,0,0,0,43,0,0,0,0
1763060488.708937,90,0,0,0,0,43,0,0,0,0
1763060489.209833,84,0,0,0,0,43,0,0,0,0
1763060489.7107522,84,0,0,0,0,44,0,0,0,0
1763060490.2114825,91,0,0,0,0,44,0,0,0,0
1763060490.7119353,91,0,0,0,0,44,0,0,0,0
1763060491.212571,86,0,0,0,0,44,0,0,0,0
1763060491.7131693,86,0,0,0,0,44,0,0,0,0
1763060492.2135503,90,0,0,0,0,45,0,0,0,0
1763060492.7142327,90,0,0,0,0,44,0,0,0,0
1763060493.2146776,89,0,0,0,0,45,0,0,0,0
1763060493.7154114,89,0,0,0,0,45,0,0,0,0
1763060494.2165334,89,0,0,0,0,45,0,0,0,0
1763060494.7168949,89,0,0,0,0,45,0,0,0,0
1763060495.2178595,89,0,0,0,0,46,0,0,0,0
1763060495.7187393,89,0,0,0,0,46,0,0,0,0
1763060496.219397,84,0,0,0,0,46,0,0,0,0
1763060496.7198498,84,0,0,0,0,46,0,0,0,0
1763060497.220662,84,0,0,0,0,46,0,0,0,0
1763060497.7210584,84,0,0,0,0,46,0,0,0,0
1763060498.222176,84,0,0,0,0,46,0,0,0,0
1763060498.722577,84,0,0,0,0,46,0,0,0,0
1763060499.223304,85,0,0,0,0,46,0,0,0,0
1763060499.72373,85,0,0,0,0,47,0,0,0,0
1763060500.224464,89,0,0,0,0,47,0,0,0,0
1763060500.7249722,89,0,0,0,0,47,0,0,0,0
1763060501.2256992,90,0,0,0,0,47,0,0,0,0
1763060501.7265162,90,0,0,0,0,47,0,0,0,0
1763060502.2271624,90,0,0,0,0,47,0,0,0,0
1763060502.7278545,90,0,0,0,0,47,0,0,0,0
1763060503.2281868,90,0,0,0,0,47,0,0,0,0
