model,platform,batch_size,num_samples,runtime_s,throughput,gpu_name,gpu_util_mean,gpu_util_max,memory_used_mb_peak,memory_percent_peak,memory_total_mb,temperature_c_mean,temperature_c_max,power_draw_w_mean,power_draw_w_max,energy_consumed_wh,timestamp,modality,image_type,tokens_per_second,total_tokens,max_new_tokens
Salesforce/blip2-flan-t5-xl,dgx_spark,1,5000,3421.93137049675,1.4611631440387909,NVIDIA GB10,81.64959765910753,86,0,0,0,71.64052670080468,77,0.0,0,0.0,2025-11-06T23:33:21.184553,vision_language,synthetic,40.426585171378846,138337,50
Salesforce/blip2-flan-t5-xl,dgx_spark,2,5000,2002.866542339325,2.4964219503911917,NVIDIA GB10,78.58325,85,0,0,0,67.57625,77,0.0,0,0.0,2025-11-07T00:06:44.136341,vision_language,synthetic,88.71884184178232,177692,50
Salesforce/blip2-flan-t5-xl,dgx_spark,4,5000,1292.8649897575378,3.867379842142445,NVIDIA GB10,79.0607820363918,88,0,0,0,68.3588850174216,76,0.0,0,0.0,2025-11-07T00:28:17.287959,vision_language,synthetic,172.93066311736783,223576,50
