timestamp,gpu_utilization,memory_utilization,memory_used_mb,memory_total_mb,memory_percent,temperature_c,power_draw_w,power_limit_w,sm_clock_mhz,mem_clock_mhz
1763070823.8850882,6,0,0,0,0,64,0,0,0,0
1763070824.3866541,83,0,0,0,0,65,0,0,0,0
1763070824.8869503,83,0,0,0,0,65,0,0,0,0
1763070825.3879817,79,0,0,0,0,66,0,0,0,0
1763070825.8886762,79,0,0,0,0,66,0,0,0,0
1763070826.3893642,83,0,0,0,0,66,0,0,0,0
1763070826.889791,83,0,0,0,0,66,0,0,0,0
1763070827.392327,85,0,0,0,0,66,0,0,0,0
1763070827.8927739,85,0,0,0,0,66,0,0,0,0
1763070828.3936958,84,0,0,0,0,66,0,0,0,0
1763070828.8944752,84,0,0,0,0,66,0,0,0,0
1763070829.3953044,82,0,0,0,0,66,0,0,0,0
1763070829.8962379,82,0,0,0,0,66,0,0,0,0
1763070830.3966742,83,0,0,0,0,66,0,0,0,0
1763070830.897409,83,0,0,0,0,66,0,0,0,0
1763070831.3978872,80,0,0,0,0,66,0,0,0,0
1763070831.8982124,80,0,0,0,0,66,0,0,0,0
1763070832.398901,79,0,0,0,0,66,0,0,0,0
1763070832.9000034,79,0,0,0,0,66,0,0,0,0
1763070833.4007146,85,0,0,0,0,66,0,0,0,0
1763070833.9017708,85,0,0,0,0,66,0,0,0,0
1763070834.4026315,85,0,0,0,0,66,0,0,0,0
1763070834.9034314,85,0,0,0,0,66,0,0,0,0
1763070835.404491,80,0,0,0,0,66,0,0,0,0
1763070835.9055567,80,0,0,0,0,66,0,0,0,0
1763070836.4066749,85,0,0,0,0,66,0,0,0,0
1763070836.9078803,85,0,0,0,0,67,0,0,0,0
1763070837.408983,85,0,0,0,0,67,0,0,0,0
1763070837.909324,85,0,0,0,0,67,0,0,0,0
1763070838.4103687,84,0,0,0,0,66,0,0,0,0
1763070838.9108188,84,0,0,0,0,67,0,0,0,0
1763070839.4117208,80,0,0,0,0,67,0,0,0,0
1763070839.9123797,80,0,0,0,0,67,0,0,0,0
1763070840.4131877,85,0,0,0,0,67,0,0,0,0
1763070840.9140854,85,0,0,0,0,67,0,0,0,0
1763070841.4149787,83,0,0,0,0,67,0,0,0,0
1763070841.9155722,83,0,0,0,0,67,0,0,0,0
1763070842.416259,81,0,0,0,0,67,0,0,0,0
1763070842.9174917,81,0,0,0,0,67,0,0,0,0
1763070843.4190702,85,0,0,0,0,67,0,0,0,0
1763070843.9203289,85,0,0,0,0,67,0,0,0,0
